route_id,route_name,from,to,stop_index,stop_name,longitude,latitude
30000,Route 1,Railway Station,Bhatti Chowk,1,Railway Station,74.3361528,31.5722982
30000,Route 1,Railway Station,Bhatti Chowk,2,Ek Moriya,,
30000,Route 1,Railway Station,Bhatti Chowk,3,Nawaz Sharif Hospital,74.3269866,31.5845909
30000,Route 1,Railway Station,Bhatti Chowk,4,Kashmiri Gate,74.3210436,31.5868419
30000,Route 1,Railway Station,Bhatti Chowk,5,Lari Adda,74.3148795,31.5960038
30000,Route 1,Railway Station,Bhatti Chowk,6,Azadi Chowk,74.3065402,31.5891043
30000,Route 1,Railway Station,Bhatti Chowk,7,Texali Chowk,,
30000,Route 1,Railway Station,Bhatti Chowk,8,Bhatti Chowk,74.3062506,31.5806534
30001,Route 2,Samanabad Mor,Bhatti Chowk,1,Samanabad Morr,74.2946408,31.5443047
30001,Route 2,Samanabad Mor,Bhatti Chowk,2,Corporation Chowk,74.3332304,31.5645647
30001,Route 2,Samanabad Mor,Bhatti Chowk,3,Taj Company,74.2846889,31.5720041
30001,Route 2,Samanabad Mor,Bhatti Chowk,4,Sanda,74.2884446,31.558242
30001,Route 2,Samanabad Mor,Bhatti Chowk,5,Double Sarkan,,
30001,Route 2,Samanabad Mor,Bhatti Chowk,6,Moon Market,74.3061324,31.4751322
30001,Route 2,Samanabad Mor,Bhatti Chowk,7,Ganda Nala,74.3362614,31.584103
30001,Route 2,Samanabad Mor,Bhatti Chowk,8,Bhatti Chowk,74.3062506,31.5806534
30002,Route 3,Railway Station,Shahdara Lari Adda,1,Railway Station,74.3361528,31.5722982
30002,Route 3,Railway Station,Shahdara Lari Adda,2,Ek Moriya,,
30002,Route 3,Railway Station,Shahdara Lari Adda,3,Nawaz Sharif Hospital,74.3269866,31.5845909
30002,Route 3,Railway Station,Shahdara Lari Adda,4,Kashmiri Gate,74.3210436,31.5868419
30002,Route 3,Railway Station,Shahdara Lari Adda,5,Lari Adda,74.3148795,31.5960038
30002,Route 3,Railway Station,Shahdara Lari Adda,6,Azadi Chowk,74.3065402,31.5891043
30002,Route 3,Railway Station,Shahdara Lari Adda,7,Timber Market,74.3009152,31.5990964
30002,Route 3,Railway Station,Shahdara Lari Adda,8,METRO,74.2981469,31.5967185
30002,Route 3,Railway Station,Shahdara Lari Adda,9,Niazi Chowk,74.2992917,31.6009579
30002,Route 3,Railway Station,Shahdara Lari Adda,10,Shahdara Metro Station,,
30002,Route 3,Railway Station,Shahdara Lari Adda,11,Shahdara Lari Adda,,
30003,Route 4,R.A Bazar,Chungi Amar Sidhu,1,R.A Bazar,74.3833725,31.5000864
30003,Route 4,R.A Bazar,Chungi Amar Sidhu,2,Nadeem Chowk,,
30003,Route 4,R.A Bazar,Chungi Amar Sidhu,3,Defence Morr,,
30003,Route 4,R.A Bazar,Chungi Amar Sidhu,4,Shareef Market,,
30003,Route 4,R.A Bazar,Chungi Amar Sidhu,5,Walton,74.3658463,31.4866569
